Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kilojoule (kJ);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Kohlenhydrate, verfügbar (g);Zucker (g);Nahrungsfasern (g);Protein (g);Wasser (g)
Weisskohl, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;153;0.6;0.3;0.2;0.1;4.6;4.2;3.5;1.4;89.9
Weisskohl, roh;Weisskabis;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;152;0.6;0.3;0.2;0.1;4.6;4.2;3.5;1.4;90.3
Weisswurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;910;18.9;7.3;8.7;1.9;0.6;0.6;0;11.8;68.6
Weizen (Weichweizen), ganzes Korn;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;1380;1.8;0.3;0.2;0.8;59.6;0.7;13.3;11.4;12.6
Weizenflocken, Vollkorn;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1420;1.8;0.3;0.2;0.8;59.6;0.7;13.3;13.5;12.1
Weizenkeime;;"Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;Speziallebensmittel/Supplemente";pro 100g essbarer Anteil;1580;9.5;1.8;1.5;5.7;35.1;10;16.3;29.2;7.5
Weizenkeimöl;;Fette und Öle/Öle;pro 100 ml;3330;90;15.7;12.6;55.5;0;0;0;0;0
Weizenkleie;Speisekleie;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;1090;4.7;0.8;0.8;2.3;17.7;1.9;45.1;15.2;11.5
Weizenmehl (Backmehl), Typ 550;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1460;1.3;0.3;0.2;0.7;69.5;0.3;3.2;12;15.1
Weizenmehl, halbweiss, Typ 720;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1440;1.5;0.2;0.2;0.7;66.2;0.5;5;13;15.4
Weizenmehl, Ruch, Typ 1100;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1440;1.7;0.3;0.2;0.9;64.6;0.6;5.7;13.5;11.3
Weizenmehl, Vollkorn, Typ 1700;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1430;2;0.3;0.2;1.5;61;1;11;13.5;13.4
Weizenmehl, weiss, Typ 400;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;1470;1.1;0.3;0.1;0.6;71;0.3;3.2;11.5;12.5
Weizenotto, gekocht;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;688;3;0.4;1.7;0.5;26.1;1.1;5.9;5;60.3
Weizenstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;1480;0.1;0;0;0.1;85.8;0;1.2;0.4;12.3
Weizenvollkornbrot;Grahambrot;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;899;1.3;0.2;0.1;0.9;38.3;0.7;6.9;8.6;45.5
Wermut, 15 vol%;"Wermutwein;Wermuth;Vermouth";Alkoholhaltige Getränke/Wein;pro 100 ml;582;0;0;0;0;13.5;13.5;0;0.1;74
Wienerli;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;1000;20.4;7.8;9.4;1.6;0.6;0.6;0;13.9;61.9
Wienerli, gekocht;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;911;18.4;7;8.5;1.4;0.6;0.6;0;13;68.1
Wildfleisch (Durchschnitt), gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;663;4.6;2;1.8;0.3;0;0;0;29;66.4
Wildfleisch (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;484;3.4;1.5;1.3;0.2;0;0;0;21.1;75.5
Wildfleischterrine;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;1010;18.7;7.4;8;2;1.6;1.4;0.1;16.4;62.9
Wildschwein (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;457;3.4;1.5;1.4;0.2;0;0;0;19.5;75.9
Wirz, gedämpft (ohne Zugabe von Salz);Wirsingkohl;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;124;0.3;0;0;0.2;2.8;2.7;2.4;2.7;91.8
Wirz, roh;Wirsingkohl;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;129;0.3;0;0;0.2;2.9;2.8;2.6;2.8;88.8
Wurst-Käse-Salat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;1080;22.6;9.4;9;2.4;0.7;0.6;0.3;13.8;62.5
Wurstsalat, zubereitet;;Gerichte/Salate;pro 100g essbarer Anteil;926;21.1;5.4;12.5;1.6;1.3;1.1;0.4;7.1;70.1
Wurzel- und Knollengemüse (Durchschnitt), gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;175;0.4;0.1;0.1;0.1;7.2;5.7;2.8;0.9;88.5
Wurzel- und Knollengemüse (Durchschnitt), gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;151;0.3;0.1;0.1;0.1;6.3;4.9;2.5;0.8;90
Wurzel- und Knollengemüse (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;158;0.3;0.1;0.1;0.1;6.5;5.1;2.6;0.8;89.6
Wurzel- und Knollengemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;166;0.3;0.1;0.1;0.1;6.9;5.4;2.7;0.9;89.1
Zampone;Gefüllter Schweinsfuss;Fleisch und Innereien/Schwein;pro 100g essbarer Anteil;1490;31.6;10.4;15.5;4.2;0;0;0;19.1;45.5
Ziege (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;623;7.9;3.6;3.3;0.4;0;0;0;19.5;71.6
Ziegenmilch;;Milch und Milchprodukte/Milch;pro 100 ml;238;3.2;2;0.7;0.1;4.2;4.2;0;2.8;88.7
Ziger weiss;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;509;7.2;4.3;1.7;0.3;3.3;3.3;0;10.9;77
Zimt;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;1330;3.2;0.9;0.6;0.7;56;55.4;24.4;3.9;9
Zimtstern;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;2110;25.9;2;15.6;5.7;50.9;50.3;5.6;14.2;5.6
Zitronat;;Süssigkeiten/Sonstige Süssigkeiten;pro 100g essbarer Anteil;1230;0.4;0.1;0;0.2;70;70;2;0.4;26.1
Zitrone, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;96;0.5;0.1;0;0.1;2.9;2.5;2;0.8;90
Zitronensaft;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;122;0.2;0;0;0;2.5;2.5;0.3;0.4;92.3
Zitrusfrüchte (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;175;0.3;0;0;0;8;7.4;2.1;0.8;88.9
Zucchetti-Piccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;515;8;2.2;4;1;6.6;1.8;1.1;5.7;78.6
Zucchetti, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;86;0.2;0;0;0.1;2.2;2.1;1.1;1.9;94.6
Zucchetti, gedünstet (ohne Zugabe von Fett und Salz);Zucchini;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;98;0.2;0;0;0.1;2.4;2.3;1.2;2.2;93.9
Zucchetti, roh;Zucchini;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;80;0.2;0;0;0.1;2;1.9;1;1.8;94
Zucchettischeiben, paniert, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;530;5.5;0.7;3.4;0.9;13.5;2.1;1.5;5;74.7
Zucker, braun;;Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;1660;0;0;0;0;97.6;97.6;0;0;1.1
Zucker, weiss;"Saccharose;Kristallzucker";Süssigkeiten/Zucker und Süssstoffe;pro 100g essbarer Anteil;1700;0;0;0;0;100;100;0;0;0
Zuckerhutsalat, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;67;0.2;0;0;0.1;1.5;1.5;1.6;1.2;94.8
Zuckermais (Konserve);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;424;1.2;0.2;0.3;0.6;18.2;6.9;2.3;3;72.8
Zuckermais (Konserve), aufgewärmt (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;433;1.2;0.2;0.3;0.6;18.6;7;2.3;3.1;74.8
Zuckermelone, roh;Honigmelone;Früchte/Früchte frisch;pro 100g essbarer Anteil;260;0.1;0;0;0;14.8;10.6;1.3;1.1;84.2
Zuger Kirschtorte;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;1400;18.7;8.5;7.5;1.6;34.6;27;1.5;4.8;38.8
Zunge (Durchschnitt aus Kalb und Rind), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind";pro 100g essbarer Anteil;785;12.3;4.4;5.6;1;2.8;0;0;16.6;68.3
Zwetschge, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;182;0.1;0;0;0.1;8.7;8.7;2.3;0.7;88.2
Zwetschge, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;182;0.1;0;0;0.1;8.8;8.8;2.3;0.6;86.3
Zwetschgenkuchen, hausgemacht, gebacken (mit Blätterteig);Zwetschgenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;580;6.7;3;2.6;0.7;16;7.6;1.9;2.6;72.9
Zwetschgenkuchen, hausgemacht, gebacken (mit Kuchenteig);Zwetschgenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;589;6.5;2.9;2.5;0.7;16.7;7.6;1.9;2.9;72.1
Zwieback;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1780;7.8;1;2;4.4;74.6;14.2;2.9;11.6;4
Zwieback, Vollkorn;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;1740;9.1;4.3;2.5;1.7;61.2;13.8;8.3;17.5;4.7
Zwiebel, gedünstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;183;0.7;0.2;0;0.1;7;5.4;2.2;1.2;88.7
Zwiebel, geröstet (ohne Zugabe von Fett und Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;388;1.5;0.5;0;0.2;14.9;11.4;4.5;2.6;76
Zwiebel, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;163;0.6;0.2;0;0.1;6.3;4.8;1.9;1.1;89.9
Zwiebelkuchen, gebacken (mit Blätterteig);Zwiebelwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;703;10.9;5.9;2.9;0.7;12.6;3.6;1.5;4.3;70.7
Zwiebelkuchen, gebacken (mit Kuchenteig);Zwiebelwähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;714;10.1;5.4;2.7;0.7;14.6;3.6;1.6;4.7;69.1
